date,time,name,gender,city,userLevel,score,content
2019-11-28,2019-11-28 23:46:51,BettyCheang,2,珠海,3,3.5,他有自己的堅持✊ 不下船 是他的最後的倔強
2019-11-28,2019-11-28 22:32:38,Sherman,0,深圳,5,5,只有足够小的指尖，才能演绎出每一种丰富的情感；仅仅两小时的故事，便可诠释了大海里无限的寓意；心中有声、心中有海，即使弹一首空气钢琴，也可拥有着整个世界。
2019-11-28,2019-11-28 22:29:22,是甜甜甜吖,0,大连,2,5,今日份儿值得！第一次一人享受的一部完整电影！一颗孤独而又自由的不羁灵魂！
2019-11-28,2019-11-28 22:28:45,桔子黄岩,0,杭州,4,4.5,挺好的影片好
2019-11-28,2019-11-28 22:26:38,Ally,2,佛山,5,3.5,可能天赋异禀的人，在性格上都有着常人所谓的缺陷吧。
2019-11-28,2019-11-28 22:22:08,陶子,2,桂林,2,4.5,出生是无论如何也改不了的，对性格、成长存在一定影响。感动他执着的选择音乐。一双略显神经质的仟手就似黑白键上疯狂的舞者，钢琴给了他无限的人格魅力，喜欢这片的人不自觉的会被他牵着走下去。为了音乐，放弃爱情对美好生活的向往对于他也只能是停留在优美的乐曲中，看得让人心酸，泪奔。男主的眼神是片中的看点，每种眼神都透着他的情感、心绪……钢琴曲贯穿整个影片，给人听觉视觉不同的冲击。同时，说故事者也让人感动，再孤独的人都有收获友情。优雅的琴声，无论何种乐器演示，都会让人憧憬徦想，走心。爱每一首喜欢听的音乐。
2019-11-28,2019-11-28 22:19:19,女汉子的爷们儿,2,西宁,2,4,很值得人深思的一部电影
2019-11-28,2019-11-28 22:18:14,香烟配香糖.,1,驻马店,2,4,不开暖气        差评
2019-11-28,2019-11-28 22:17:21,安妮',0,哈尔滨,1,5,第一次看海上钢琴师，被1900的纯粹感动到，他真正是为钢琴而生的人，音乐塑造且成就了他。在知道他不打算离开船时我是理解同情他的，因为与其让他在俗世中被拥戴被同化，不如与船葬于海中，这是他唯一的结局。但当他开起了在天堂的玩笑时，我真的控制不了眼泪了，这么可爱的一个人怎么这么固执?还有电影场景是真的美，女主那几个画面真的被美到
2019-11-28,2019-11-28 22:15:14,Hi，漂亮女孩,2,酉阳土家族苗族自治县,3,5,经典就是经典，看完还想看，一直一直看，看无数无数遍。
2019-11-28,2019-11-28 22:12:18,Ronin43,0,重庆,4,5,耳闻不如一见
2019-11-28,2019-11-28 22:06:06,tHp829169057,0,江门,2,5,很好看，最好很感人，说的台词太好了，适合孤独寂寞的性格，习惯一个人生活的人太感触
2019-11-28,2019-11-28 22:05:50,alan·chen,0,重庆,4,5,名片果然不同凡响！
